Index,X,Y,Z,NormalX,NormalY,NormalZ,GroupID
     200 ,45.148,-19.357,102.952,-0.49019,0.84803,-0.20138,0
     201 ,-17.449,-21.580,120.515,0.52247,0.54103,0.65902,0
     202 ,66.717,-22.738,107.082,0.79691,-0.59766,-0.08796,0
     203 ,9.638,-26.401,104.884,-0.04386,0.99023,-0.13235,0
     204 ,50.214,-25.108,115.143,-0.24415,0.73566,0.63182,0
     205 ,-7.457,-63.687,116.168,-0.88450,-0.14889,0.44214,0
     206 ,-9.689,-58.554,112.257,-0.83091,-0.17438,0.52838,0
     207 ,-7.457,-27.819,118.483,0.29201,0.63535,0.71488,0
     208 ,60.442,-15.820,106.620,-0.39853,0.83267,0.38448,0
     209 ,-11.897,-28.435,106.297,-0.09582,0.82306,-0.55981,0
     210 ,40.592,-62.941,91.813,0.16228,-0.21474,-0.96309,0
     211 ,35.455,-49.598,138.678,-0.03259,0.17903,0.98330,0
     212 ,42.240,-72.498,97.761,0.39673,-0.61817,-0.67858,0
     213 ,61.070,-55.699,115.347,0.88181,-0.43853,0.17353,0
     214 ,38.854,-45.137,88.676,-0.66941,-0.12398,-0.73248,0
     215 ,-19.054,-50.293,76.436,0.03212,0.00181,-0.99948,0
     216 ,-17.137,-46.135,77.610,0.59910,0.28404,-0.74860,0
     217 ,51.880,-64.766,110.127,0.77692,-0.55510,0.29709,0
     218 ,59.224,-16.060,105.906,-0.39301,0.90465,0.16480,0
     219 ,41.272,-71.033,96.129,0.28325,-0.56881,-0.77215,0
     220 ,11.677,-75.606,123.201,-0.31388,-0.91665,0.24744,0
     221 ,51.363,-23.776,113.803,-0.10814,0.81579,0.56814,0
     222 ,28.995,-76.870,99.129,0.00270,-0.65570,-0.75501,0
     223 ,-21.510,-47.778,83.380,-0.98821,0.03778,0.14838,0
     224 ,-18.139,-42.315,100.029,-0.28172,0.63489,-0.71941,0
     225 ,61.484,-14.814,104.905,-0.49986,0.86592,0.01788,0
     226 ,67.222,-22.429,107.845,0.79681,-0.52399,-0.30087,0
     227 ,62.324,-14.810,102.784,-0.20448,0.69425,-0.69007,0
     228 ,67.391,-21.087,107.403,0.90249,-0.09199,-0.42077,0
     229 ,6.768,-73.265,124.359,-0.50482,-0.53422,0.67807,0
     230 ,37.252,-76.820,100.474,0.27590,-0.80212,-0.52960,0
     231 ,51.701,-44.848,76.343,0.41839,0.05530,-0.90658,0
     232 ,10.783,-68.372,129.289,-0.61625,-0.29511,0.73017,0
     233 ,46.073,-46.560,82.022,-0.52293,-0.63012,-0.57401,0
     234 ,64.527,-14.509,102.903,0.23361,0.70904,-0.66534,0
     235 ,50.746,-27.004,117.285,-0.03535,0.77050,0.63646,0
     236 ,39.345,-24.110,101.168,-0.41663,0.74316,-0.52358,0
     237 ,5.374,-37.133,129.676,-0.46556,0.44879,0.76279,0
     238 ,44.412,-73.910,116.319,0.60189,-0.70607,0.37309,0
     239 ,67.336,-18.787,107.641,0.97502,0.17158,-0.14103,0
     240 ,12.461,-50.763,90.813,0.00364,0.04338,-0.99905,0
     241 ,65.477,-23.186,108.691,0.23884,-0.77091,0.59046,0
     242 ,34.460,-78.781,126.023,0.58005,-0.71021,0.39892,0
     243 ,61.201,-55.834,105.026,0.89274,-0.07307,-0.44460,0
     244 ,-10.070,-47.845,83.886,0.72349,0.30221,-0.62067,0
     245 ,22.196,-51.612,91.844,0.15078,-0.03662,-0.98789,0
     246 ,61.241,-28.040,104.309,0.78752,-0.50075,-0.35925,0
     247 ,26.472,-63.210,140.086,-0.30878,0.01457,0.95102,0
     248 ,46.237,-71.387,102.270,0.69086,-0.68056,-0.24402,0
     249 ,45.756,-70.381,120.349,0.68021,-0.65584,0.32740,0
     250 ,65.472,-14.736,103.332,0.67220,0.60008,-0.43365,0
