BlankMeshes/OC59/Index,X,Y,Z
244,-9780.603114123973,-47724.11857031504,83637.73175313266
245,22256.313767901614,-51626.64892614303,91448.84476675063
246,61556.00689851763,-28240.30210952689,104165.29989977255
247,26348.48703647599,-63204.17029988385,140466.40841530924
248,46513.34351705292,-71659.22543796575,102172.39072017898
249,46028.082910556965,-70643.33669893959,120479.9593302225
250,65740.87940794721,-14495.967489570772,103158.54032768682
251,44896.09907945395,-75153.686461349,114319.20441485358
252,67461.97710606085,-17116.304753089258,106906.04674959893
253,-21044.924206912452,-21344.81151943896,114509.44703422263
254,23895.317735517106,-30055.18193253204,96616.48126833417
255,47367.78095680537,-31861.954135968408,88647.06043941464
256,67144.94415753255,-23176.74161493668,108666.11344983235
257,64513.162404969706,-23798.888243536858,109014.15688556773
258,-17592.51259318113,-21050.518942545285,117977.76983588688
259,19740.46629905428,-65586.73136181528,93401.23360789458
260,56518.80113629738,-17329.612223555887,106930.1849216688
261,-6205.018468214061,-43719.258926070295,126979.73866738782
262,61663.11383352846,-16311.682228151294,108674.87140757644
263,62059.82918919371,-14664.310711086817,107077.58044734849
264,51460.75507258968,-59357.44358912473,130413.96062839942
265,-22823.344603051974,-42230.86359861919,101297.61507661962
266,62525.12426240833,-13988.413900865851,103406.38906404919
267,49389.07644458052,-32050.88722607553,89647.61581592933
268,-9421.323053638476,-25299.474245413367,114217.96532594753
269,66310.27722409653,-15067.62945483986,106362.55004307775
270,-18130.694532549765,-25534.57284060931,123229.95873077061
271,23619.86849128427,-45352.43680067705,91998.62082897898
272,68318.99839921149,-21640.016597279166,108669.49141550863
273,37778.11197970985,-78246.102543975,103415.93026348125
274,67095.31157394347,-16161.3457454791,106456.35797185841
275,-19976.46095162937,-42038.985073734904,83589.54514700145
276,67605.66421519387,-17436.819387349195,107637.6560293298
277,-21895.7734489258,-52195.299002694184,83812.08116874834
278,68313.34028573715,-20495.80522836833,108494.97600716322
279,68098.37185711201,-22487.25444239716,108966.9639253517
280,65808.62864295098,-15002.87641266268,108141.93027313717
281,22714.20319302055,-33688.297734965076,94156.2026991845
282,26549.84723174532,-44550.72024834856,92250.8666702009
283,-23256.379234104857,-43950.767088098895,99889.04727261256
284,-9401.624654848581,-43954.78696952196,125323.3580818397
285,44697.49153544138,-69409.64843992413,96075.69531788513
